r;inserts(s)
10;1.2333333333333E-12
10;1.2366666666667E-12
10;1.2433333333333E-12
10;1.2466666666667E-12
10;1.25E-12
10;1.2533333333333E-12
10;1.26E-12
10;1.2633333333333E-12
10;1.2666666666667E-12
10;1.2733333333333E-12
10;1.2766666666667E-12
10;1.28E-12
10;1.2866666666667E-12
10;1.29E-12
10;1.2933333333333E-12
10;1.2966666666667E-12
10;1.3033333333333E-12
10;1.31E-12
10;1.3166666666667E-12
10;1.32E-12
10;1.3233333333333E-12
10;1.33E-12
10;1.3333333333333E-12
10;1.3366666666667E-12
